scene,Center_x,Center_y,patch,patch_cal,patch_rgb_vv,patch_rgb_vh,category,Head_x,Head_y,Tail_x,Tail_y,UpperLeft_x,UpperLeft_y,LowerRight_x,LowerRight_y,Manual_Length,Center_longitude,Center_latitude,North_Direction,Chip_Direction,Incidence,Elevation,Slant_Range_Time,MMSI,Nav_Status,Rot,Sog,AIS_Longitude,AIS_Latitude,Projected_Latitude,Projected_Longitude,Cog,True_Head,AIS_Length,AIS_Width,Draught,Name,Ship_Type,Length_overall,Breadth_extreme,Elaborated_type,Gross_tonnage,Deadweight
S1A_IW_GRDH_1SDV_20150823T221233_20150823T221258_007396_00A2CA_54D0,8078,15482,Cargo_x8078_y15482.tif,Cargo_x8078_y15482.tif,Cargo_x8078_y15482_vv.tif,Cargo_x8078_y15482_vh.tif,Cargo,8067,15476,8085,15486,8114,15518,8042,15446,206,1.182493e+02,3.844157e+01,7.082057e+01,-6.094540e+01,36.073286,32.037536,5637822.358714,412563000,1,0,0,118.248497,38.441502,38.441502,118.248497,1170.00,77.00,199,32,125,XIN SHI JI 128,70,199.990000,32.000000,Bulk Carrier,33511,57000
S1A_IW_GRDH_1SDV_20150823T221233_20150823T221258_007396_00A2CA_54D0,8759,15674,Cargo_x8759_y15674.tif,Cargo_x8759_y15674.tif,Cargo_x8759_y15674_vv.tif,Cargo_x8759_y15674_vh.tif,Cargo,8747,15671,8766,15679,8797,15712,8721,15636,206,1.181685e+02,3.843524e+01,7.709879e+01,-6.716635e+01,36.506515,32.409462,5664711.067339,413189000,1,0,0,118.167900,38.434898,38.434898,118.167900,3302.00,76.00,199,32,66,AN JIN SHAN,70,199.000000,32.000000,Cargo,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,115,8324,Tug_x115_y8324.tif,Tug_x115_y8324.tif,Tug_x115_y8324_vv.tif,Tug_x115_y8324_vh.tif,Tug,115,8320,116,8328,131,8340,99,8308,82,1.193056e+02,3.895397e+01,1.793549e+01,-7.125016e+00,30.714512,27.396580,5344803.500000,636010226,1,0,1,119.305519,38.954048,38.954065,119.305523,2324.00,236.00,58,13,59,HUAWANG,52,58.600000,13.030000,Tug/Supply Vessel,1299,1000
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,1302,6782,Other Type_x1302_y6782.tif,Other Type_x1302_y6782.tif,Other Type_x1302_y6782_vv.tif,Other Type_x1302_y6782_vh.tif,Other Type,1292,6772,1311,6794,1346,6826,1258,6738,293,1.192054e+02,3.911275e+01,5.105458e+01,-4.081508e+01,31.541708,28.117352,5385741.500000,412301170,15,0,0,119.204964,39.112198,39.112204,119.204988,2761.00,229.00,287,51,0,BOHAISHIJI,0,287.000000,51.000000,Unspecified,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,1932,6719,Cargo_x1932_y6719.tif,Cargo_x1932_y6719.tif,Cargo_x1932_y6719_vv.tif,Cargo_x1932_y6719_vh.tif,Cargo,1927,6715,1936,6725,1952,6739,1912,6699,135,1.191352e+02,3.912897e+01,5.219608e+01,-4.198721e+01,31.975843,28.494831,5408018.500000,412356190,1,3,0,119.135704,39.129303,39.129268,119.135753,1153.00,234.00,161,24,52,BAO YUN HAO,70,161.000000,24.000000,Cargo,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2022,6639,Cargo_x2022_y6639.tif,Cargo_x2022_y6639.tif,Cargo_x2022_y6639_vv.tif,Cargo_x2022_y6639_vh.tif,Cargo,2019,6637,2024,6641,2032,6649,2012,6629,64,1.191267e+02,3.913768e+01,6.154659e+01,-5.134019e+01,32.037704,28.548615,5411200.500000,412429960,1,128,0,119.127098,39.137783,39.137783,119.127098,2147.00,263.00,98,15,60,HAO CHANG 199,70,98.000000,15.000000,Cargo,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2212,6474,Cargo_x2212_y6474.tif,Cargo_x2212_y6474.tif,Cargo_x2212_y6474_vv.tif,Cargo_x2212_y6474_vh.tif,Cargo,2209,6470,2216,6479,2230,6492,2194,6456,115,1.191088e+02,3.915570e+01,4.808903e+01,-3.787498e+01,32.168312,28.662167,5417918.500000,412356470,1,128,0,119.109245,39.155922,39.155924,119.109245,41.00,231.00,147,21,83,JIN TAI 998,70,147.000000,21.000000,Cargo,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2066,6486,Cargo_x2066_y6486.tif,Cargo_x2066_y6486.tif,Cargo_x2066_y6486_vv.tif,Cargo_x2066_y6486_vh.tif,Cargo,2062,6482,2070,6491,2084,6504,2048,6468,121,1.191251e+02,3.915218e+01,5.183683e+01,-4.163354e+01,32.067696,28.574680,5412756.000000,412752620,1,0,0,119.125648,39.152416,39.152420,119.125626,632.00,234.00,149,21,48,HUA RUI 1,70,149.000000,21.000000,Cargo,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2209,6333,Cargo_x2209_y6333.tif,Cargo_x2209_y6333.tif,Cargo_x2209_y6333_vv.tif,Cargo_x2209_y6333_vh.tif,Cargo,2205,6328,2213,6339,2231,6355,2187,6311,137,1.191123e+02,3.916833e+01,4.625232e+01,-3.602737e+01,32.165930,28.660086,5417811.500000,413712000,1,0,0,119.112648,39.168678,39.168680,119.112667,2529.00,225.00,149,21,86,XIN HAO TAI 2,70,149.000000,21.000000,Cargo,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,1866,6375,Cargo_x1866_y6375.tif,Cargo_x1866_y6375.tif,Cargo_x1866_y6375_vv.tif,Cargo_x1866_y6375_vh.tif,Cargo,1861,6368,1869,6383,1896,6405,1836,6345,172,1.191503e+02,3.915881e+01,3.839272e+01,-2.807249e+01,31.929586,28.454584,5405683.500000,413931000,1,0,0,119.150879,39.159225,39.159225,119.150879,3016.00,227.00,179,31,99,PING AN DA 75,70,179.900000,31.000000,Bulk Carrier,24872,39075
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2084,6945,Cargo_x2084_y6945.tif,Cargo_x2084_y6945.tif,Cargo_x2084_y6945_vv.tif,Cargo_x2084_y6945_vh.tif,Cargo,2090,6940,2080,6950,2104,6965,2064,6925,142,1.191129e+02,3.911118e+01,3.263754e+02,45,32.081120,28.586388,5413394.500000,413411690,0,0,64,119.113632,39.108818,39.110039,119.113759,3310.00,325.00,185,30,113,TUO ZHAN 6,70,185.840000,30.440000,Bulk Carrier,25891,43665
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2165,6957,Cargo_x2165_y6957.tif,Cargo_x2165_y6957.tif,Cargo_x2165_y6957_vv.tif,Cargo_x2165_y6957_vh.tif,Cargo,2172,6950,2158,6964,2193,6985,2137,6929,199,1.191035e+02,3.911146e+01,3.263725e+02,45,32.136982,28.634960,5416258.500000,563770000,0,4,125,119.101906,39.116051,39.113403,119.101729,1461.00,149.00,229,36,122,BOGA INDAH,70,229.000000,36.000000,Bulk Carrier,48065,87181
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2329,7111,Tanker_x2329_y7111.tif,Tanker_x2329_y7111.tif,Tanker_x2329_y7111_vv.tif,Tanker_x2329_y7111_vh.tif,Tanker,2326,7109,2332,7115,2341,7123,2317,7099,85,1.190814e+02,3.910036e+01,5.519003e+01,-45,32.250370,28.733564,5422058.500000,413440240,5,0,0,119.081680,39.100544,39.100546,119.081685,856.00,231.00,88,13,56,TongYu7,80,89.000000,14.000000,Tanker,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2438,6840,Tanker_x2438_y6840.tif,Tanker_x2438_y6840.tif,Tanker_x2438_y6840_vv.tif,Tanker_x2438_y6840_vh.tif,Tanker,2442,6836,2435,6847,2460,6862,2416,6818,131,1.190750e+02,3.912656e+01,3.388366e+02,3.247119e+01,32.324910,28.798355,5425912.000000,311075900,0,0,45,119.075485,39.124893,39.125574,119.075602,3385.00,332.00,157,24,74,KINGBIRD ARROW,80,157.000000,23.500000,Oil/Chemical Tanker,15607,19308
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2576,6847,Tanker_x2576_y6847.tif,Tanker_x2576_y6847.tif,Tanker_x2576_y6847_vv.tif,Tanker_x2576_y6847_vh.tif,Tanker,2572,6843,2579,6849,2590,6861,2562,6833,92,1.190592e+02,3.912824e+01,5.953687e+01,-4.939871e+01,32.419983,28.881014,5430797.000000,412750680,1,0,0,119.059570,39.128448,39.128446,119.059570,939.00,234.00,117,18,70,FENG FAN 17,82,117.280000,18.000000,Oil/Chemical Tanker,5199,7967
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2606,6701,Tanker_x2606_y6701.tif,Tanker_x2606_y6701.tif,Tanker_x2606_y6701_vv.tif,Tanker_x2606_y6701_vh.tif,Tanker,2603,6699,2608,6704,2616,6711,2596,6691,71,1.190590e+02,3.914188e+01,5.513832e+01,-45,32.440018,28.898380,5431883.000000,413302340,1,128,0,119.059319,39.141884,39.141889,119.059314,863.00,511.00,85,12,530,HUI FENG YOU 15,80,85.000000,12.000000,Tanker,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2603,6510,Cargo_x2603_y6510.tif,Cargo_x2603_y6510.tif,Cargo_x2603_y6510_vv.tif,Cargo_x2603_y6510_vh.tif,Cargo,2609,6507,2598,6512,2625,6532,2581,6488,120,1.190636e+02,3.915901e+01,3.055698e+02,6.555605e+01,32.437560,28.896235,5431773.000000,413699010,0,0,75,119.064583,39.156258,39.157905,119.064965,3145.00,312.00,124,18,47,XIN HONG XIANG 87,70,124.000000,18.000000,Cargo,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,1433,7737,Other Type_x1433_y7737.tif,Other Type_x1433_y7737.tif,Other Type_x1433_y7737_vv.tif,Other Type_x1433_y7737_vh.tif,Other Type,1432,7730,1434,7741,1455,7759,1411,7715,113,1.191693e+02,3.902903e+01,2.095374e+01,-1.030485e+01,31.634212,28.197865,5390377.000000,412286326,0,0,87,119.167908,39.028637,39.027359,119.167612,446.00,511.00,0,0,0,JIHUANGGANGYU 01088,0,30.000000,5.000000,Fishing,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,1466,7683,Cargo_x1466_y7683.tif,Cargo_x1466_y7683.tif,Cargo_x1466_y7683_vv.tif,Cargo_x1466_y7683_vh.tif,Cargo,1462,7677,1471,7690,1492,7709,1440,7657,160,1.191667e+02,3.903444e+01,4.497059e+01,-3.469515e+01,31.656826,28.217522,5391543.500000,413377050,1,0,0,119.167015,39.035011,39.035010,119.167015,1922.00,225.00,189,32,105,HUA YUAN 11,70,189.990000,32.000000,Bulk Carrier,29090,47350
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,1674,7819,Cargo_x1674_y7819.tif,Cargo_x1674_y7819.tif,Cargo_x1674_y7819_vv.tif,Cargo_x1674_y7819_vh.tif,Cargo,1669,7812,1679,7826,1702,7847,1646,7791,174,1.191401e+02,3.902569e+01,4.579705e+01,-3.553768e+01,31.800539,28.342493,5398899.500000,412378740,1,0,0,119.140686,39.026176,39.026176,119.140686,1507.00,231.00,200,32,72,DA TANG 10 HAO,70,200.000000,32.000000,Bulk Carrier,28000,45000
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,1852,7703,Cargo_x1852_y7703.tif,Cargo_x1852_y7703.tif,Cargo_x1852_y7703_vv.tif,Cargo_x1852_y7703_vh.tif,Cargo,1847,7697,1858,7711,1880,7731,1824,7675,180,1.191225e+02,3.903910e+01,4.838891e+01,-3.815723e+01,31.922949,28.448917,5405194.000000,414764000,1,0,0,119.122940,39.039520,39.039530,119.122919,2034.00,237.00,199,32,71,HUA RUN DIAN LI 7   ,70,199.990000,32.000000,Bulk Carrier,28733,43984
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2040,7666,Cargo_x2040_y7666.tif,Cargo_x2040_y7666.tif,Cargo_x2040_y7666_vv.tif,Cargo_x2040_y7666_vh.tif,Cargo,2033,7660,2043,7672,2064,7690,2016,7642,168,1.191020e+02,3.904559e+01,5.001998e+01,-3.980557e+01,32.052450,28.561514,5411842.000000,413946000,1,127,0,119.102547,39.046082,39.046102,119.102538,2080.00,228.00,189,31,116,HUARUNCHUANGYE,70,189.830000,31.030000,Bulk Carrier,25943,45830
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2215,7704,Cargo_x2215_y7704.tif,Cargo_x2215_y7704.tif,Cargo_x2215_y7704_vv.tif,Cargo_x2215_y7704_vh.tif,Cargo,2210,7699,2219,7710,2237,7726,2193,7682,143,1.190813e+02,3.904510e+01,4.949903e+01,-3.928941e+01,32.173172,28.666487,5418030.500000,413571000,1,128,0,119.081718,39.045334,39.045246,119.081607,463.00,234.00,167,23,95,JIN NING 6,70,167.000000,23.000000,Cargo,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2264,9820,Cargo_x2264_y9820.tif,Cargo_x2264_y9820.tif,Cargo_x2264_y9820_vv.tif,Cargo_x2264_y9820_vh.tif,Cargo,2255,9810,2276,9831,2306,9862,2222,9778,299,1.190290e+02,3.885555e+01,5.519566e+01,-45,32.212280,28.700678,5419775.500000,229009000,1,0,1,119.028168,38.855331,38.855392,119.028101,2430.00,239.00,366,48,840,TAYMA,71,366.050000,48.330000,Container Ship,141077,145451
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2411,10963,Cargo_x2411_y10963.tif,Cargo_x2411_y10963.tif,Cargo_x2411_y10963_vv.tif,Cargo_x2411_y10963_vh.tif,Cargo,2420,10959,2404,10967,2443,10995,2379,10931,179,1.189871e+02,3.875518e+01,3.078155e+02,6.343495e+01,32.316650,28.791530,5424982.000000,413445000,0,0,117,118.989784,38.750301,38.753512,118.989581,3089.00,307.00,225,32,72,guodian3,70,224.540000,32.210000,Bulk Carrier,35752,60969
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,2896,11036,Cargo_x2896_y11036.tif,Cargo_x2896_y11036.tif,Cargo_x2896_y11036_vv.tif,Cargo_x2896_y11036_vh.tif,Cargo,2903,11036,2888,11037,2926,11066,2866,11006,149,1.189307e+02,3.875670e+01,2.845602e+02,8.618593e+01,32.647600,29.078836,5442419.000000,413442820,0,0,111,118.930611,38.759686,38.756447,118.931233,1021.00,99.00,173,24,102,zhongxingda97,70,173.000000,24.000000,Cargo,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,5184,9530,Cargo_x5184_y9530.tif,Cargo_x5184_y9530.tif,Cargo_x5184_y9530_vv.tif,Cargo_x5184_y9530_vh.tif,Cargo,5180,9526,5188,9534,5200,9546,5168,9514,114,1.187045e+02,3.893000e+01,5.497879e+01,-45,34.181076,30.406893,5526457.500000,413304230,1,0,1,118.704865,38.930244,38.930272,118.704867,3077.00,226.00,126,19,800,HENG TAI 27,70,126.000000,19.000000,Cargo,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,5566,9860,Cargo_x5566_y9860.tif,Cargo_x5566_y9860.tif,Cargo_x5566_y9860_vv.tif,Cargo_x5566_y9860_vh.tif,Cargo,5560,9854,5571,9864,5588,9882,5544,9838,149,1.186540e+02,3.890655e+01,5.769154e+01,-4.772631e+01,34.432870,30.624243,5540937.000000,413948000,1,0,0,118.654510,38.907009,38.907005,118.654510,1338.00,232.00,189,32,117,HUA RUI 2,70,190.000000,32.000000,Cargo,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,5825,9973,Cargo_x5825_y9973.tif,Cargo_x5825_y9973.tif,Cargo_x5825_y9973_vv.tif,Cargo_x5825_y9973_vh.tif,Cargo,5817,9963,5830,9981,5861,10009,5789,9937,224,1.186222e+02,3.890061e+01,4.583944e+01,-3.583765e+01,34.603300,30.771345,5550752.500000,372160000,1,8,1,118.622932,38.901615,38.901418,118.623124,1360.00,220.00,292,45,184,NAVIOS ETOILE,70,292.000000,45.000000,Bulk Carrier,92715,179234
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,5305,10355,Cargo_x5305_y10355.tif,Cargo_x5305_y10355.tif,Cargo_x5305_y10355_vv.tif,Cargo_x5305_y10355_vh.tif,Cargo,5294,10355,5318,10355,5353,10403,5257,10307,239,1.186729e+02,3.885775e+01,1.004852e+02,-90,34.262714,30.477436,5531054.000000,215851000,1,0,1,118.671600,38.857834,38.857841,118.671602,3570.00,103.00,288,45,177,MANASOTA,70,288.880000,45.000000,Bulk Carrier,88129,171061
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,5678,10247,Cargo_x5678_y10247.tif,Cargo_x5678_y10247.tif,Cargo_x5678_y10247_vv.tif,Cargo_x5678_y10247_vh.tif,Cargo,5674,10243,5683,10251,5696,10265,5660,10229,121,1.186330e+02,3.887356e+01,5.833044e+01,-4.836646e+01,34.507450,30.688648,5545186.500000,413754000,1,128,0,118.633308,38.873821,38.873820,118.633317,287.00,98.00,140,20,81,QIN FENG 1,70,140.000000,20.000000,Cargo,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,5575,10389,Cargo_x5575_y10389.tif,Cargo_x5575_y10389.tif,Cargo_x5575_y10389_vv.tif,Cargo_x5575_y10389_vh.tif,Cargo,5583,10381,5567,10397,5607,10421,5543,10357,227,1.186416e+02,3.885910e+01,3.261024e+02,45,34.440160,30.630589,5541285.500000,355725000,1,0,5,118.640480,38.859730,38.859837,118.640742,397.00,141.00,292,45,175,AQUA CRYSTAL,70,291.980000,45.000000,Bulk Carrier,92752,181458
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,5988,10317,Other Type_x5988_y10317.tif,Other Type_x5988_y10317.tif,Other Type_x5988_y10317_vv.tif,Other Type_x5988_y10317_vh.tif,Other Type,5891,10184,5904,10192,6014,10343,5962,10291,153,1.185963e+02,3.887233e+01,6.839240e+01,-5.839250e+01,34.711266,30.864561,5556934.500000,412283539,0,0,68,118.598526,38.871456,38.872009,118.598677,2048.00,511.00,0,0,0,     JIFENGYU  01121,0,21.000000,5.000000,Fishing,NaN,NaN
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,6163,10463,Cargo_x6163_y10463.tif,Cargo_x6163_y10463.tif,Cargo_x6163_y10463_vv.tif,Cargo_x6163_y10463_vh.tif,Cargo,6157,10448,6168,10473,6213,10513,6113,10413,277,1.185733e+02,3.886205e+01,3.387071e+01,-2.374949e+01,34.826600,30.964117,5563568.000000,235076527,1,0,5,118.573875,38.863316,38.863166,118.574036,1156.00,213.00,327,58,205,BERGE KIBO,70,327.000000,56.000000,Bulk Carrier,155823,289889
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,6306,10442,Tanker_x6306_y10442.tif,Tanker_x6306_y10442.tif,Tanker_x6306_y10442_vv.tif,Tanker_x6306_y10442_vh.tif,Tanker,6294,10436,6320,10449,6358,10494,6254,10390,291,1.185576e+02,3.886627e+01,7.347687e+01,-6.343495e+01,34.920480,31.045137,5568986.500000,447025000,1,0,2,118.558441,38.866562,38.866566,118.558429,1736.00,253.00,332,60,225,UMM AL AISH,80,332.000000,60.040000,Crude Oil Tanker,162625,319634
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,5686,10725,Cargo_x5686_y10725.tif,Cargo_x5686_y10725.tif,Cargo_x5686_y10725_vv.tif,Cargo_x5686_y10725_vh.tif,Cargo,5680,10726,5691,10726,5708,10747,5664,10703,109,1.186217e+02,3.883069e+01,1.004865e+02,-90,34.513947,30.694305,5545497.000000,354984000,0,0,106,118.622665,38.827381,38.830208,118.624745,2790.00,280.00,130,19,73,ENDEAVOR OAK,70,130.730000,19.600000,General Cargo,9235,11910
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,6004,10788,Tanker_x6004_y10788.tif,Tanker_x6004_y10788.tif,Tanker_x6004_y10788_vv.tif,Tanker_x6004_y10788_vh.tif,Tanker,5992,10789,6020,10791,6060,10844,5948,10732,280,1.185844e+02,3.883021e+01,9.632077e+01,-8.591438e+01,34.723000,30.874735,5557548.000000,241295000,0,128,76,118.586327,38.827690,38.829833,118.586894,2757.00,511.00,333,58,225,MARAN REGULUS,83,333.000000,58.000000,Tanker,160036,310106
S1A_IW_GRDH_1SDV_20150916T221233_20150916T221258_007746_00AC44_BA63,7322,10527,Cargo_x7322_y10527.tif,Cargo_x7322_y10527.tif,Cargo_x7322_y10527_vv.tif,Cargo_x7322_y10527_vh.tif,Cargo,7316,10525,7326,10530,7342,10547,7302,10507,112,1.184406e+02,3.887509e+01,7.339509e+01,-6.343495e+01,35.578476,31.611727,5608204.000000,413425250,1,128,0,118.441101,38.875256,38.875221,118.441101,1431.00,250.00,149,22,0,M V JIN CHUAN 66,70,149.000000,22.000000,Cargo,NaN,NaN
